id,htmlEquiv,unicode,name,type,script,sortFollowing,decomposition,deprecated,description,syntax,otherNames
0,"<font color=""red"">␀</font>",0,Null,Control,Controls,,,,,,
1,@,40,At,Character,Symbols,,,,@. Needed in CDCE prior to main DCE specification for syntactical purposes.,,
2,"<font color=""red"">(begin separator)</font>",,Begin separator,Syntax,Semantic,,,,Begin a DCE separator string.,,
3,"<font color=""red"">(end separator)</font>",,End separator,Syntax,Semantic,,,,End a DCE separator string.,,
4,"<font color=""red""> to </font>",,Range,Syntax,Semantic,,,,The DCE range character. Used to represent ranges in DCE. See the wiki for more information.,,
5,"<font color=""red""> and </font>",,Record summation,Syntax,Semantic,,,,Used to denote the union of two records. See the wiki for more information.,,
6,"<font color=""red"">(begin number)</font>",,Begin number,Syntax,Semantic,,,,Begin a DCE number.,,
7,"<font color=""red"">(end number)</font>",,End number,Syntax,Semantic,,,,End a DCE number.,,
8,"<font color=""red"">#</font>",,Unknown value,Syntax,Semantic,,,,Substitution character for an unknown value.,,
9,"<font color=""red"">Gregorian calendar </font>",,Gregorian calendar identifier,Syntax,Semantic,,,,Internal DCE calendar identifier for the Gregorian calendar.,,
10,"<font color=""red"">+</font>",,Positive,Syntax,Semantic,,,,Positive value (syntactical representation — This is not the   character),,
11,"<font color=""red"">-</font>",,Negative,Syntax,Semantic,,,,Negative (syntactical representation — This is not the − character),,
12,",",2E,Decimal point,Character,Mathematics,,,,,,
13,"<font color=""red"">(full drop back)</font>",,Full drop back,Miscellaneous,DCE,,,,Drop back to the core sheet (no meaning in EDF),,
14,"<font color=""red"">(drop back)</font>",,Drop back,Miscellaneous,DCE,,,,Drop back to the enclosing sheet (no meaning in EDF),,
15,"<font color=""red"">(begin file)</font>",,Begin DCE content,Miscellaneous,DCE,,,,Begins a DCE region (no meaning in EDF),E:113,
16,,,DCE Version Selectors,Miscellaneous,DCE sheets,,,,,,
17,,,No mapping,Miscellaneous,Noncharacters,,,,Processing use only (not for interchange),,
18, ,20,Space,Character,Punctuation,,,,"Sometimes used as a word separator, e.g. in Ano&eacute;",,word separator
19,!,21,Exclamation,Character,Punctuation,,,,,,
20,"""",22,Double quotation mark,Character,Punctuation,,,,,,
21,#,23,Number sign,Character,Symbols,,,,,,"octothorpe, hash, crosshatch"
22,$,24,Dollar,Character,Financial,,,,,,
23,%,25,Percent,Character,Symbols,,,,,,
24,&amp;,26,And,Character,Punctuation,,,,,,
25,',27,Apostrophe,Character,Punctuation,,,,,,
26,(,28,Left parenthesis,Character,Punctuation,,,,,,left bracket
27,),29,Right parenthesis,Character,Punctuation,,,,,,right bracket
28,*,2A,Asterisk,Character,Symbols,,,,,,star
29,+ ,2B,Plus,Character,Mathematics,,,,,,
30,",",2C,Comma,Character,Punctuation,,,,,,
31,‐,2010,Hyphen,Character,Punctuation,,,,,,
32,.,2E,Full stop,Character,Punctuation,,,,,,period
33,/,2F,Solidus,Character,Symbols,,,,,,"virgule, stroke, slash"
34,0,30,Zero,Character,Mathematics,,,,,,
35,1,31,One,Character,Mathematics,,,,,,
36,2,32,Two,Character,Mathematics,,,,,,
37,3,33,Three,Character,Mathematics,,,,,,
38,4,34,Four,Character,Mathematics,,,,,,
39,5,35,Five,Character,Mathematics,,,,,,
40,6,36,Six,Character,Mathematics,,,,,,
41,7,37,Seven,Character,Mathematics,,,,,,
42,8,38,Eight,Character,Mathematics,,,,,,
43,9,39,Nine,Character,Mathematics,,,,,,
44,:,3A,Colon,Character,Punctuation,,,,,,
45,;,3B,Semicolon,Character,Punctuation,,,,,,
46,&lt;,3C,Less than,Character,Mathematics,,,,,,
47,=,3D,Equals,Character,Mathematics,,,,,,
48,&gt;,3E,Greater than,Character,Mathematics,,,,,,
49,?,3F,Question,Character,Punctuation,,,,,,
50,A,41,Latin Capital Letter A,Character,Latin,,,,,S:82,
51,B,42,Latin Capital Letter B,Character,Latin,,,,,S:83,
52,C,43,Latin Capital Letter C,Character,Latin,,,,,S:84,
53,D,44,Latin Capital Letter D,Character,Latin,,,,,S:85,
54,E,45,Latin Capital Letter E,Character,Latin,,,,,S:86,
55,F,46,Latin Capital Letter F,Character,Latin,,,,,S:87,
56,G,47,Latin Capital Letter G,Character,Latin,,,,,S:88,
57,H,48,Latin Capital Letter H,Character,Latin,,,,,S:89,
58,I,49,Latin Capital Letter I,Character,Latin,,,,Special casing considerations for Turkish,S:90,
59,J,4A,Latin Capital Letter J,Character,Latin,,,,,S:91,
60,K,4B,Latin Capital Letter K,Character,Latin,,,,,S:92,
61,L,4C,Latin Capital Letter L,Character,Latin,,,,,S:93,
62,M,4D,Latin Capital Letter M,Character,Latin,,,,,S:94,
63,N,4E,Latin Capital Letter N,Character,Latin,,,,,S:95,
64,O,4F,Latin Capital Letter O,Character,Latin,,,,,S:96,
65,P,50,Latin Capital Letter P,Character,Latin,,,,,S:97,
66,Q,51,Latin Capital Letter Q,Character,Latin,,,,,S:98,
67,R,52,Latin Capital Letter R,Character,Latin,,,,,S:99,
68,S,53,Latin Capital Letter S,Character,Latin,,,,,S:100,
69,T,54,Latin Capital Letter T,Character,Latin,,,,,S:101,
70,U,55,Latin Capital Letter U,Character,Latin,,,,,S:102,
71,V,56,Latin Capital Letter V,Character,Latin,,,,,S:103,
72,W,57,Latin Capital Letter W,Character,Latin,,,,,S:104,
73,X,58,Latin Capital Letter X,Character,Latin,,,,,S:105,
74,Y,59,Latin Capital Letter Y,Character,Latin,,,,,S:106,
75,Z,5A,Latin Capital Letter Z,Character,Latin,,,,,S:107,
76,[,5B,Left bracket,Character,Punctuation,,,,,,left square bracket
77,\,5C,Reversed solidus,Character,Symbols,,,,,,backslash
78,],5D,Right bracket,Character,Punctuation,,,,,,right square bracket
79,^,5E,Spacing circumflex,Character,Symbols,,,,,,
80,_,5F,Underscore,Character,Symbols,,,,,,low line
81,`,60,Spacing grave,Character,Symbols,,,,,,
82,a,61,Latin Small Letter A,Character,Latin,,,,,C:50,
83,b,62,Latin Small Letter B,Character,Latin,,,,,C:51,
84,c,63,Latin Small Letter C,Character,Latin,,,,,C:52,
85,d,64,Latin Small Letter D,Character,Latin,,,,,C:53,
86,e,65,Latin Small Letter E,Character,Latin,,,,,C:54,
87,f,66,Latin Small Letter F,Character,Latin,,,,,C:55,
88,g,67,Latin Small Letter G,Character,Latin,,,,,C:56,
89,h,68,Latin Small Letter H,Character,Latin,,,,,C:57,
90,i,69,Latin Small Letter I,Character,Latin,,,,Special casing considerations for Turkish,C:58,
91,j,6A,Latin Small Letter J,Character,Latin,,,,,C:59,
92,k,6B,Latin Small Letter K,Character,Latin,,,,,C:60,
93,l,6C,Latin Small Letter L,Character,Latin,,,,,C:61,
94,m,6D,Latin Small Letter M,Character,Latin,,,,,C:62,
95,n,6E,Latin Small Letter N,Character,Latin,,,,,C:63,
96,o,6F,Latin Small Letter O,Character,Latin,,,,,C:64,
97,p,70,Latin Small Letter P,Character,Latin,,,,,C:65,
98,q,71,Latin Small Letter Q,Character,Latin,,,,,C:66,
99,r,72,Latin Small Letter R,Character,Latin,,,,,C:67,
100,s,73,Latin Small Letter S,Character,Latin,,,,,C:68,
101,t,74,Latin Small Letter T,Character,Latin,,,,,C:69,
102,u,75,Latin Small Letter U,Character,Latin,,,,,C:70,
103,v,76,Latin Small Letter V,Character,Latin,,,,,C:71,
104,w,77,Latin Small Letter W,Character,Latin,,,,,C:72,
